,Mean_AUROC,Mean_PR_AUC,Macro_F1,Micro_F1,Macro_Precision,Macro_Recall
custom_cnn,0.6039531487434774,0.07801432833274773,0.09032281666607647,0.08798070100752094,0.05337614766069789,0.6148251528950617
resnet18,0.7208455139734218,0.1408249231120859,0.17550836239397732,0.21428571428571427,0.12739857451847575,0.3832152936560232
vgg19,0.6057951348740275,0.08636903177221748,0.10517327335457424,0.09284195605953224,0.06772966741288361,0.5242335417031465
